Country,Tourist_Arrivals
Singapore,10163882
Indonesia,3623277
China,3114257
Thailand,1884306
Brunei,1216123
India,735309
South Korea,673065
Japan,424694
Philippines,421908
Vietnam,400346
Taiwan,382916
Australia,368271
United Kingdom,346485
United States of America,269928
Bangladesh,179000
France,141661
Germany,130221
Saudi Arabia,121444
Pakistan,105757
Cambodia,97097
Canada,87568
Netherlands,82110
Russia,79984
Italy,54710
New Zealand,50140
Iran,46559
Myanmar,46257
Spain,43616
Egypt,29831
Sweden,29592
Poland,27033
Laos,26955
Sri Lanka,26058
Switzerland,25659
Oman,23911
South Africa,22674
Denmark,22314
Belgium,22082
Iraq,21421
Nepal,20437
Ireland,19696
Kazakhstan,18138
Ukraine,16019
Turkey,15290
Norway,14585
Finland,13557
United Arab Emirates,11174
Kuwait,9632
